route_id,scheduled_time,actual_time,weather,passenger_count,latitude,longitude
R03,1/7/2025 3:00,3:43 AM,SUN,250,23.60744168,33.75422966
R2,1/7/2025 4:00,,Sunny,118,25.87422044,31.84011199
3,1/7/2025 5:00,12:00 AM,Rainy,-5,24.10382225,33.57502503
R1,1/7/2025 6:00,,SUN,33,999,
R1,1/7/2025 7:00,08.14AM,clody,-5,23.44666415,33.73231048
R1,1/7/2025 8:00,12:00 AM,Sunny,250,23.91681265,33.26188571
R1,1/7/2025 9:00,09.27AM,SUN,-5,25.62995229,33.41472033
R03,1/7/2025 10:00,12:00 AM,Rainy,-5,25.98900301,31.05401967
R1,1/7/2025 11:00,11:41 AM,sunny,45,24.10492859,33.88843107
3,1/7/2025 12:00,01.08PM,sunny,250,24.34583189,33.18001298
Route-4,1/7/2025 13:00,1:40 PM,,68,25.16621281,31.91425329
R1,1/7/2025 14:00,04.01PM,cloudy,250,25.65858734,33.48818399
R03,1/7/2025 15:00,4:03 PM,sunny,-5,24.779133,31.8445636
R03,1/7/2025 16:00,04.58PM,CLOUDY,40,24.17457709,33.61826152
R1,1/7/2025 17:00,12:00 AM,SUN,72,24.23786552,31.33774117
Route-4,1/7/2025 18:00,12:00 AM,CLOUDY,-5,25.08685444,33.11105793
R1,1/7/2025 19:00,12:00 AM,Rainy,250,23.00965479,32.62209543
R03,1/7/2025 20:00,10:13 PM,sunny,250,24.85876801,31.28960341
R2,1/7/2025 21:00,11:24 PM,cloudy,12,24.06647903,31.72568148
3,1/7/2025 22:00,10.50PM,Rainy,-5,25.38259199,31.03721211
R03,1/7/2025 23:00,11:10 PM,clody,-5,23.27897192,32.4063039
R1,1/8/2025 0:00,2:39 AM,clody,,24.7646068,31.90379578
3,1/8/2025 1:00,,CLOUDY,250,24.44291867,32.79507245
R1,1/8/2025 2:00,4:02 AM,,-5,24.92697658,31.89171342
R1,1/8/2025 3:00,03.35AM,Sunny,88,23.19456078,31.89975733
R2,1/8/2025 4:00,12:00 AM,,-5,24.73995136,33.2295796
3,1/8/2025 5:00,,,-5,24.68445376,31.14442851
3,1/8/2025 6:00,07.50AM,cloudy,250,24.68198028,33.70868499
R2,1/8/2025 7:00,,sunny,45,24.810463,33.55679162
R03,1/8/2025 8:00,8:52 AM,cloudy,250,25.02940381,33.00341405
R1,1/8/2025 9:00,,Rainy,116,25.414967,32.77966471
Route-4,1/8/2025 10:00,9:57 AM,clody,11,23.80946216,33.67690749
R1,1/8/2025 11:00,12:00 AM,cloudy,-5,25.47514823,31.55599054
R1,1/8/2025 12:00,12.45PM,Rainy,-5,24.49476705,31.23690749
R03,1/8/2025 13:00,12:00 AM,cloudy,250,23.23117484,31.71853051
R1,1/8/2025 14:00,3:59 PM,,42,23.17565279,33.38373484
R2,1/8/2025 15:00,,SUN,-5,24.00271496,31.1040108
R2,1/8/2025 16:00,12:00 AM,CLOUDY,-5,25.35469093,32.74842051
3,1/8/2025 17:00,07.20PM,Sunny,-5,25.1230428,33.98631255
Route-4,1/8/2025 18:00,06.07PM,cloudy,,25.36584489,33.56708828
R1,1/8/2025 19:00,12:00 AM,Sunny,-5,24.55180717,32.56433707
R1,1/8/2025 20:00,9:48 PM,rain,67,24.32059699,31.19092273
R03,1/8/2025 21:00,9:28 PM,cloudy,26,23.44235758,33.49412054
R2,1/8/2025 22:00,11.15PM,SUN,250,23.98457826,32.79693552
Route-4,1/8/2025 23:00,11:14 PM,Sunny,250,24.3020581,31.34479899
3,1/9/2025 0:00,12.14AM,cloudy,250,23.26580129,31.28157185
R2,1/9/2025 1:00,02.38AM,sunny,-5,23.66183586,33.72888046
3,1/9/2025 2:00,,CLOUDY,-5,24.79467588,33.00760079
R03,1/9/2025 3:00,12:00 AM,SUN,-5,25.20698934,33.4878604
R03,1/9/2025 4:00,12:00 AM,Sunny,41,25.99504253,33.6369367
R1,1/9/2025 5:00,06.30AM,SUN,250,25.79933999,32.71531706
Route-4,1/9/2025 6:00,06.53AM,Rainy,0,24.9276956,32.55233906
3,1/9/2025 7:00,7:48 AM,CLOUDY,-5,24.26374416,32.29128223
R2,1/9/2025 8:00,9:50 AM,cloudy,250,999,
R03,1/9/2025 9:00,,cloudy,25,25.35695485,32.30378788
R1,1/9/2025 10:00,12:00 AM,cloudy,250,23.35500857,33.32163897
R1,1/9/2025 11:00,12:00 AM,CLOUDY,41,24.22971467,32.80577029
3,1/9/2025 12:00,,sunny,250,25.51940686,33.67756987
R03,1/9/2025 13:00,12:00 AM,rain,-5,24.15149886,32.33014004
Route-4,1/9/2025 14:00,12:00 AM,clody,-5,24.71561681,32.82126874
R03,1/9/2025 15:00,,,-5,24.76330808,32.89392266
3,1/9/2025 16:00,12:00 AM,Sunny,46,23.55342876,32.77509149
3,1/9/2025 17:00,12:00 AM,sunny,97,24.08670632,33.10790132
R03,1/9/2025 18:00,07.42PM,Sunny,250,24.00353387,31.71230041
3,1/9/2025 19:00,09.48PM,cloudy,,23.07859013,32.53709133
R03,1/9/2025 20:00,12:00 AM,SUN,-5,23.07257529,31.31267441
R2,1/9/2025 21:00,11:48 PM,Sunny,9,25.49509113,32.15353398
R03,1/9/2025 22:00,10.59PM,cloudy,250,23.81921243,32.46300121
R03,1/9/2025 23:00,11:08 PM,Sunny,-5,24.5542363,32.95667278
3,1/10/2025 0:00,12:00 AM,SUN,-5,23.89617672,33.85159316
3,1/10/2025 1:00,03.11AM,cloudy,38,25.82203774,32.8019532
R1,1/10/2025 2:00,12:00 AM,rain,250,23.77789028,33.23078175
R1,1/10/2025 3:00,2:52 AM,sunny,250,24.28897044,32.51879818
R2,1/10/2025 4:00,3:59 AM,Rainy,38,25.61819075,32.90231209
R1,1/10/2025 5:00,,,,25.5258007,31.21279665
R03,1/10/2025 6:00,06.02AM,CLOUDY,,23.55830425,31.76317474
3,1/10/2025 7:00,,,2,25.40792993,32.08555928
R1,1/10/2025 8:00,9:02 AM,,69,24.37456066,32.41748007
R1,1/10/2025 9:00,11.12AM,cloudy,12,24.44890662,31.13694624
R2,1/10/2025 10:00,12:00 AM,rain,59,23.40043992,31.42007229
R2,1/10/2025 11:00,11.51AM,Rainy,,23.24180454,31.83044292
R03,1/10/2025 12:00,12:00 AM,sunny,250,25.18381792,33.91459807
3,1/10/2025 13:00,12:00 AM,sunny,250,24.48938346,31.99404102
R2,1/10/2025 14:00,,SUN,-5,24.31055211,32.44612317
R1,1/10/2025 15:00,5:19 PM,CLOUDY,-5,25.18852469,31.58829314
3,1/10/2025 16:00,5:34 PM,Sunny,101,25.2965387,32.83234021
3,1/10/2025 17:00,12:00 AM,rain,250,23.4767245,31.84204965
R1,1/10/2025 18:00,12:00 AM,Sunny,250,24.83067545,31.62097774
R2,1/10/2025 19:00,09.23PM,Rainy,76,23.40606225,32.54971789
R1,1/10/2025 20:00,8:31 PM,,250,25.25412526,31.0165174
3,1/10/2025 21:00,12:00 AM,sunny,,24.97086547,31.0229921
Route-4,1/10/2025 22:00,12:00 AM,Rainy,15,25.86984386,31.65720643
Route-4,1/10/2025 23:00,12:00 AM,,-5,23.20687405,31.11016409
R03,1/11/2025 0:00,2:22 AM,sunny,-5,23.17116416,31.32407726
R1,1/11/2025 1:00,12:00 AM,,250,23.84656122,32.01658195
R1,1/11/2025 2:00,12:00 AM,CLOUDY,103,23.78511705,33.40775704
R03,1/11/2025 3:00,12:00 AM,rain,250,23.7409364,32.71614593
R03,1/11/2025 4:00,04.22AM,Rainy,-5,25.71876374,32.53800318
R03,1/11/2025 5:00,7:33 AM,Rainy,250,23.7486386,31.88046647
3,1/11/2025 6:00,7:26 AM,clody,13,23.81584918,33.79526116
R1,1/11/2025 7:00,9:52 AM,cloudy,250,25.27819479,32.19104512
3,1/11/2025 8:00,,CLOUDY,-5,24.34921953,31.2612783
R03,1/11/2025 9:00,8:59 AM,CLOUDY,-5,25.33013167,32.85119955
R1,1/11/2025 10:00,11.26AM,Sunny,-5,999,
3,1/11/2025 11:00,12:00 AM,,-5,24.46271358,32.03566943
3,1/11/2025 12:00,12:00 AM,cloudy,-5,23.1008408,32.52223582
R03,1/11/2025 13:00,12:54 PM,rain,59,23.18795961,33.62266757
R1,1/11/2025 14:00,3:05 PM,rain,-5,25.71931236,32.48063974
R03,1/11/2025 15:00,12:00 AM,CLOUDY,250,23.41773611,33.1067763
R1,1/11/2025 16:00,04.25PM,rain,250,24.59726205,33.97845052
Route-4,1/11/2025 17:00,12:00 AM,clody,-5,24.23328681,31.39446736
R2,1/11/2025 18:00,07.33PM,Rainy,250,24.04202998,31.82419458
R2,1/11/2025 19:00,12:00 AM,SUN,,25.69950004,32.18372823
R2,1/11/2025 20:00,09.36PM,Sunny,-5,23.06547019,32.26548454
R03,1/11/2025 21:00,11.59PM,,250,24.99136906,32.23306323
Route-4,1/11/2025 22:00,12:00 AM,,9,25.8901833,33.72283301
R1,1/11/2025 23:00,12:29 AM,sunny,53,24.68050455,33.14209793
3,1/12/2025 0:00,12:00 AM,SUN,13,25.81046739,32.82371564
R1,1/12/2025 1:00,12:00 AM,CLOUDY,250,23.15677364,31.92811815
3,1/12/2025 2:00,2:40 AM,clody,-5,24.25637996,33.47137115
R1,1/12/2025 3:00,03.30AM,Rainy,24,23.78047337,33.86518153
Route-4,1/12/2025 4:00,03.50AM,Rainy,7,25.19246289,33.46359485
3,1/12/2025 5:00,06.19AM,clody,,25.94389127,31.00469532
R03,1/12/2025 6:00,6:46 AM,cloudy,67,23.76959019,32.90920411
R1,1/12/2025 7:00,12:00 AM,sunny,31,24.9625238,31.15340614
R1,1/12/2025 8:00,12:00 AM,,250,23.5942929,31.77282166
3,1/12/2025 9:00,,SUN,250,24.69599076,31.1785741
R03,1/12/2025 10:00,12:49 PM,rain,,24.39179746,32.81138636
R03,1/12/2025 11:00,,sunny,,25.91601599,33.05976974
Route-4,1/12/2025 12:00,12:52 PM,SUN,-5,24.82558182,31.34346291
R03,1/12/2025 13:00,01.27PM,Sunny,-5,24.04851912,32.15151665
R03,1/12/2025 14:00,12:00 AM,Sunny,250,23.34228735,32.36870953
R03,1/12/2025 15:00,12:00 AM,sunny,49,23.45374049,32.10715907
R2,1/12/2025 16:00,06.48PM,CLOUDY,78,23.67595079,31.363075
Route-4,1/12/2025 17:00,07.49PM,SUN,-5,23.75289998,32.25684337
R1,1/12/2025 18:00,,SUN,,25.55184817,33.25353414
3,1/12/2025 19:00,12:00 AM,clody,-5,24.68366836,31.21302299
R1,1/12/2025 20:00,10.23PM,CLOUDY,15,24.57017273,31.24054004
Route-4,1/12/2025 21:00,10:10 PM,,102,23.34430662,32.06431388
3,1/12/2025 22:00,11.47PM,,51,25.58041908,33.82517713
Route-4,1/12/2025 23:00,,rain,-5,25.16844291,33.00571794
R03,1/13/2025 0:00,12:00 AM,Rainy,-5,23.20300509,33.03600987
3,1/13/2025 1:00,03.10AM,Sunny,-5,25.12350529,32.08575997
R03,1/13/2025 2:00,12:00 AM,,250,24.63061465,32.78098237
R1,1/13/2025 3:00,5:27 AM,CLOUDY,85,23.24517604,31.03039355
R1,1/13/2025 4:00,12:00 AM,SUN,,24.37490192,32.90828814
3,1/13/2025 5:00,,,90,24.45408886,33.73986084
3,1/13/2025 6:00,08.44AM,SUN,,23.49732362,32.83772041
Route-4,1/13/2025 7:00,08.42AM,,-5,25.83709444,33.62109578
Route-4,1/13/2025 8:00,12:00 AM,Sunny,38,25.54992611,33.17191917
R03,1/13/2025 9:00,8:57 AM,,250,25.00706701,31.36167525
3,1/13/2025 10:00,,CLOUDY,84,24.38688668,33.70735992
R1,1/13/2025 11:00,10.59AM,,44,24.23529662,31.19933153
